Date,Time,Latitude (DD),Longitude (DD),GPS Alt (m),ETS Triggered,BMP180 Temp (*C),BMP180 Pressure (Pa),BMP180 Alt (m),CO2 (ppm),OZ (ppb),CH4 (ppm),UV Index,One-Wire Temp (*F),Red Pressure Temp (*C),Red Pressure Temp (*F),Red Pressure (mb),Red Alt (m),Red Alt Change from Startup (m)
02/19/2023,12:13:50,0,0,0,0,31.30,100614,59.53,<400,20,10.94,0.01,76.26,31.32,88.41,996.10,163.31,-1.70
02/19/2023,12:13:52,0,0,0,0,31.30,100607,59.53,<400,20,10.94,0.01,76.26,31.34,88.39,996.10,163.31,-1.70
02/19/2023,12:13:54,0,0,0,0,31.30,100617,59.12,<400,20,10.94,0.01,76.26,31.35,88.43,996.00,164.16,-0.85
02/19/2023,12:13:55,0,0,0,0,31.30,100613,59.20,<400,20,10.94,0.01,76.26,31.36,88.45,995.90,165.00,0.00
02/19/2023,12:13:57,0,0,0,0,31.30,100610,59.03,<400,20,10.94,0.01,76.26,31.37,88.48,995.80,165.84,0.85
02/19/2023,12:13:59,0,0,0,0,31.30,100621,58.86,<400,20,10.94,0.01,76.26,31.39,88.50,996.20,162.47,-2.54
02/19/2023,12:14:01,0,0,0,0,31.30,100619,59.03,<400,20,10.94,0.01,76.26,31.40,88.52,996.00,164.16,-0.85
02/19/2023,12:14:02,0,0,0,0,31.20,100616,59.45,<400,20,10.94,0.01,76.26,31.41,88.54,996.00,164.16,-0.85
02/19/2023,12:14:04,0,0,0,0,31.20,100607,59.70,<400,20,10.94,0.01,76.26,31.42,88.56,996.00,164.16,-0.85
02/19/2023,12:14:06,0,0,0,0,31.20,100614,59.37,<400,20,10.94,0.01,76.26,31.43,88.59,996.10,163.31,-1.70
02/19/2023,12:14:07,0,0,0,0,31.20,100616,59.70,<400,20,10.94,0.01,76.26,31.44,88.61,995.80,165.84,0.85
02/19/2023,12:14:09,0,0,0,0,31.20,100607,59.37,<400,20,10.94,0.01,76.26,31.45,88.61,995.70,166.69,1.70
02/19/2023,12:14:11,0,0,0,0,31.30,100607,60.12,<400,20,10.94,0.01,76.37,31.47,88.65,995.80,165.84,0.85
02/19/2023,12:14:12,0,0,0,0,31.30,100607,60.12,<400,20,10.94,0.01,76.37,31.47,88.66,996.00,164.16,-0.85
02/19/2023,12:14:14,0,0,0,0,31.30,100607,59.70,<400,20,10.94,0.01,76.26,31.47,88.66,995.90,165.00,0.00
02/19/2023,12:14:16,0,0,0,0,31.30,100608,59.37,<400,20,10.94,0.01,76.37,31.47,88.63,995.80,165.84,0.85
02/19/2023,12:14:18,0,0,0,0,31.40,100607,59.62,<400,20,10.94,0.01,76.37,31.48,88.66,995.90,165.00,0.00
02/19/2023,12:14:19,0,0,0,0,31.40,100604,59.95,<400,20,10.94,0.01,76.37,31.48,88.66,996.00,164.16,-0.85
02/19/2023,12:14:21,0,0,0,0,31.40,100603,59.53,<400,20,10.94,0.01,76.37,31.48,88.68,995.80,165.84,0.85
02/19/2023,12:14:23,0,0,0,0,31.40,100608,59.95,<400,20,10.94,0.01,76.26,31.49,88.66,995.90,165.00,0.00
02/19/2023,12:14:24,0,0,0,0,31.40,100607,59.53,<400,20,10.94,0.01,76.37,31.51,88.70,996.00,164.16,-0.85
02/19/2023,12:14:26,0,0,0,0,31.40,100615,59.62,<400,20,10.94,0.01,76.37,31.50,88.68,995.80,165.84,0.85
02/19/2023,12:14:28,0,0,0,0,31.40,100602,59.70,<400,20,10.94,0.01,76.37,31.50,88.68,996.10,163.31,-1.70
02/19/2023,12:14:29,0,0,0,0,31.40,100614,58.95,<400,20,10.94,0.01,76.37,31.50,88.70,996.10,163.31,-1.70
02/19/2023,12:14:31,0,0,0,0,31.40,100602,59.78,<400,20,10.94,0.01,76.26,31.51,88.70,996.00,164.16,-0.85
02/19/2023,12:14:33,0,0,0,0,31.40,100611,60.04,<400,20,10.94,0.01,76.37,31.51,88.74,996.00,164.16,-0.85
02/19/2023,12:14:35,0,0,0,0,31.40,100605,59.62,<400,20,10.94,0.01,76.37,31.53,88.74,995.90,165.00,0.00
02/19/2023,12:14:36,0,0,0,0,31.40,100605,60.46,<400,20,10.94,0.01,76.37,31.53,88.77,995.90,165.00,0.00
02/19/2023,12:14:38,0,0,0,0,31.40,100605,60.20,<400,20,10.94,0.01,76.37,31.52,88.77,996.10,163.31,-1.70
02/19/2023,12:14:40,0,0,0,0,31.40,100606,59.62,<400,20,10.94,0.01,76.37,31.52,88.75,996.10,163.31,-1.70
02/19/2023,12:14:41,0,0,0,0,31.40,100608,59.62,<400,20,10.94,0.01,76.37,31.52,88.75,995.90,165.00,0.00
02/19/2023,12:14:43,0,0,0,0,31.40,100607,59.62,<400,20,10.94,0.01,76.37,31.52,88.74,995.80,165.84,0.85
02/19/2023,12:14:45,0,0,0,0,31.40,100603,59.62,<400,20,10.94,0.01,76.37,31.52,88.74,995.90,165.00,0.00
02/19/2023,12:14:46,0,0,0,0,31.30,100606,59.95,<400,20,10.94,0.01,76.37,31.53,88.75,995.90,165.00,0.00
02/19/2023,12:14:48,0,0,0,0,31.30,100603,59.45,<400,20,10.94,0.01,76.37,31.53,88.75,996.00,164.16,-0.85
02/19/2023,12:14:50,0,0,0,0,31.30,100609,59.70,<400,20,10.94,0.01,76.37,31.54,88.77,996.10,163.31,-1.70
