Date,Time,Latitude (DD),Longitude (DD),GPS Alt (m),ETS Triggered,BMP180 Temp (*C),BMP180 Pressure (Pa),BMP180 Alt (m),CO2 (ppm),OZ (ppb),CH4 (ppm),UV Index,One-Wire Temp (*F),Red Pressure Temp (*C),Red Pressure Temp (*F),Red Pressure (mb),Red Alt (m),Red Alt Change from Startup (m)
02/24/2023,11:37:46,42.2812628333,-71.7829575,213.7,0,2.10,98283,256.74,400,20,10.94,0.22,37.11,2.47,36.43,972.90,164.14,-0.87
02/24/2023,11:37:47,42.2812628333,-71.7829576667,213.6,0,2.10,98284,256.66,400,20,10.94,0.21,37.11,2.46,36.43,973.60,158.09,-6.94
02/24/2023,11:37:49,42.2812631667,-71.782958,213.4,0,2.10,98274,257.17,400,20,10.94,0.21,37.11,2.46,36.43,972.60,166.73,1.74
