Date,Time,Latitude (DD),Longitude (DD),GPS Alt (m),ETS Triggered,BMP180 Temp (*C),BMP180 Pressure (Pa),BMP180 Alt (m),CO2 (ppm),OZ (ppb),CH4 (ppm),UV Index,One-Wire Temp (*F),Red Pressure Temp (*C),Red Pressure Temp (*F),Red Pressure (mb),Red Alt (m),Red Alt Change from Startup (m)
02/19/2023,15:00:45,42.2738956667,-71.8119126667,162.3,0,8.40,100370,80.40,<400,20,10.94,0.24,46.45,8.55,47.41,991.80,165.85,0.85
02/19/2023,15:00:46,42.2738956667,-71.8119126667,162.3,0,8.40,100372,79.65,<400,20,10.94,0.25,46.45,8.55,47.41,991.90,165.00,0.00
02/19/2023,15:00:48,42.2738953333,-71.8119125,162.2,0,8.40,100356,79.90,<400,20,10.94,0.24,46.45,8.56,47.43,991.90,165.00,0.00
02/19/2023,15:00:49,42.2738953333,-71.8119125,162.2,0,8.40,100366,79.90,<400,20,10.94,0.24,46.45,8.58,47.44,991.80,165.85,0.85
02/19/2023,15:00:52,42.2738953333,-71.8119125,162.2,0,8.40,100361,80.57,<400,20,10.94,0.24,46.45,8.58,47.46,992.20,162.46,-2.55
02/19/2023,15:00:54,42.2738953333,-71.8119125,162.2,0,8.40,100376,78.98,<400,20,10.94,0.24,46.56,8.59,47.46,991.70,166.70,1.70
02/19/2023,15:00:55,42.2738951667,-71.8119125,162.2,0,8.40,100370,79.23,<400,20,10.94,0.24,46.56,8.59,47.48,991.70,166.70,1.70
02/19/2023,15:00:58,42.2738951667,-71.8119125,162.1,0,8.40,100362,80.32,<400,20,10.94,0.24,46.56,8.60,47.46,991.90,165.00,0.00
02/19/2023,15:00:59,42.2738951667,-71.8119125,162.1,0,8.40,100367,79.98,<400,20,10.94,0.24,46.56,8.61,47.48,991.90,165.00,0.00
02/19/2023,15:01:02,42.2738951667,-71.8119125,162.1,0,8.40,100371,80.91,<400,20,10.94,0.24,46.56,8.60,47.50,992.10,163.31,-1.70
02/19/2023,15:01:02,42.2738951667,-71.8119125,162.1,0,8.40,100359,80.91,<400,20,10.94,0.24,46.56,8.60,47.50,991.90,165.00,0.00
02/19/2023,15:01:03,42.2738948333,-71.8119123333,162.1,0,8.40,100363,79.73,<400,20,10.94,0.24,46.68,8.60,47.50,991.90,165.00,0.00
