Date,Time,Latitude (DD),Longitude (DD),GPS Alt (m),ETS Triggered,BMP180 Temp (*C),BMP180 Pressure (Pa),BMP180 Alt (m),CO2 (ppm),OZ (ppb),CH4 (ppm),UV Index,One-Wire Temp (*F),Red Pressure Temp (*C),Red Pressure Temp (*F),Red Pressure (mb),Red Alt (m),Red Alt Change from Startup (m)
02/20/2023,17:55:09,42.2743871667,-71.8112118333,167.7,0,0.20,100129,100.81,400,20,10.94,0.74,35.09,0.56,32.99,990.50,163.30,-1.71
02/20/2023,17:55:11,42.2743868333,-71.8112115,167.7,0,0.20,100122,101.32,400,20,10.94,0.74,34.97,0.55,32.99,990.50,163.30,-1.71
02/20/2023,17:55:12,42.2743865,-71.8112108333,167.6,0,0.20,100124,100.39,400,20,10.94,0.73,34.97,0.53,32.97,990.20,165.85,0.85
02/20/2023,17:55:14,42.2743861667,-71.8112105,167.6,0,0.10,100114,101.65,400,20,10.94,0.74,34.97,0.53,32.95,990.30,165.00,0.00
02/20/2023,17:55:16,42.2743861667,-71.8112105,167.6,0,0.10,100121,100.90,400,20,10.94,0.75,34.97,0.52,32.94,990.40,164.15,-0.86
